OID_;ID_CAMARA;LUGAR_INFR;AMBITO;TIPOVIA;VIA;NUMERO_PK;UTM_X;UTM_Y;LATITUD;LONGITUD
83;83;Pte San Isidro - Ermita Santo;Interior M-30;Puente;Pte San Isidro;0;438829,549999999988358;4472837,709999999962747;40,403519000000003;-3,724418000000000
84;84;Po Virgen Puerto - P. Segovia;Interior M-30;Paseo;Virgen del Puerto;0;438844,979999999981374;4473980,179999999701977;40,414197999999999;-3,720810000000000
85;85;C Segovia 73 C1;Interior M-30;Calle;Segovia;73;438854,539999999979045;4473945,459999999962747;40,413885999999998;-3,720694000000000
86;86;C Segovia 73 C2;Interior M-30;Calle;Segovia;73;438854,539999999979045;4473945,459999999962747;40,413885999999998;-3,720694000000000
87;87;C Manzanares 35;Interior M-30;Calle;Manzanares;35;438822,950000000011642;4473818,059999999590218;40,412736000000002;-3,721054000000000
88;88;A5 - Gta San Vicente C1;Interior M-30;Carretera;A5-Pta San Vicente;0;438882,340000000025611;4474504,490000000223517;40,418923999999997;-3,720420000000000
89;89;A5 - Gta San Vicente C2;Interior M-30;Carretera;A5-Pta San Vicente;0;438882,340000000025611;4474504,490000000223517;40,418923999999997;-3,720420000000000
90;90;Cta S Vicente - frente n8 C1;Interior M-30;Calle;San Vicente;8;439451,260000000009313;4474773,280000000260770;40,421387000000003;-3,713740000000000
91;91;Cta S Vicente - frente n8 C2;Interior M-30;Calle;San Vicente;8;439451,260000000009313;4474773,280000000260770;40,421387000000003;-3,713740000000000
92;92;C San Pol de Mar 2;Interior M-30;Calle;San Pol de Mar;2;438327,340000000025611;4475117,809999999590218;40,424408000000000;-3,727021000000000
93;93;Av Valladolid 83;Interior M-30;Avenida;Valladolid;83;437716,119999999995343;4476171,650000000372529;40,433855999999999;-3,734329000000000
94;94;Av Séneca - frente n14;Interior M-30;Avenida;Séneca;14;437913,650000000023283;4476259,940000000409782;40,434666000000000;-3,732009000000000
95;95;Entrada Po. Senda del Rey;Interior M-30;Paseo;Senda del Rey;0;437758,080000000016298;4476239,570000000298023;40,434471000000002;-3,733841000000000
96;96;Entrada Po. Ruperto Chapí;Interior M-30;Paseo;Ruperto Chapí;0;437942,200000000011642;4476164,450000000186265;40,433992000000003;-3,732576000000000
97;97;A6PK5.300D ENT C1;Interior M-30;Carretera;A6;;437942,200000000011642;4476164,459999999962747;40,446973999999997;-3,734772000000000
98;98;A6PK5.300D ENT C2;Interior M-30;Carretera;A6;;437942,200000000011642;4476164,459999999962747;40,446973999999997;-3,734772000000000
99;99;Ctra Dehesa de la Villa sn C1;Interior M-30;Carretera;Dehesa de la villa;0;438066,710000000020955;4478644,440000000409782;40,456158000000002;-3,730437000000000
100;100;Ctra Dehesa de la Villa sn C2;Interior M-30;Carretera;Dehesa de la villa;0;438066,710000000020955;4478644,440000000409782;40,456158000000002;-3,730437000000000
101;101;C Dr Ramón Castroviejo 97;Interior M-30;Calle;Doctor Ramón Castroviejo;97;437718,479999999981374;4480482,299999999813735;40,472687999999998;-3,734724000000000
102;102;C Dr Juan José López Ibor 31;Interior M-30;Calle;Juan José López Ibor;31;438248,299999999988358;4480437,940000000409782;40,472327999999997;-3,728470000000000
103;103;C Valle de Mena 365;Interior M-30;Calle;Valle de Mena;365;438282,700000000011642;4480456,530000000260770;40,472498000000002;-3,728066000000000
104;104;C Dr Ramón Castroviejo 77;Interior M-30;Calle;Doctor Ramón Castroviejo;77;438295,880000000004657;4480481,179999999701977;40,472721000000000;-3,727913000000000
105;105;C Cesar Manrique 11;Interior M-30;Calle;Cesar Manrique;11;438875,039999999979045;4480696,889999999664724;40,474707000000002;-3,721102000000000
106;106;C Monforte de Lemos 193;Interior M-30;Calle;Monforte de Lemos;193;438977,979999999981374;4480845,910000000149012;40,476056999999997;-3,719902000000000
107;107;Camino de Ganapanes sn;Interior M-30;Camino;Ganapanes;0;439288,520000000018626;4481004,900000000372529;40,477511999999997;-3,716254000000000
108;108;C Dr Ramon Castroviejo 25;Interior M-30;Calle;Doctor Ramón Castroviejo;25;439340,359999999986030;4481167,099999999627471;40,478977000000000;-3,715658000000000
109;109;Av Betanzos 69;Interior M-30;Avenida;Betanzos;69;439581,630000000004657;4481223,000000000000000;40,479498000000000;-3,712817000000000
110;110;C Ginzo de Limia 43;Interior M-30;Calle;Ginzo de Lima;43;440249,409999999974389;4481392,240000000223517;40,481071000000000;-3,704955000000000
111;111;C Finisterre 31;Interior M-30;Calle;Finisterre;31;440410,280000000027940;4481326,459999999962747;40,480490000000003;-3,703051000000000
112;112;Po Castellana 167 C1;Interior M-30;Paseo;Castellana;167;441533,969999999972060;4479260,969999999739230;40,461962999999997;-3,689604000000000
113;113;Po Castellana 167 C2;Interior M-30;Paseo;Castellana;167;441533,969999999972060;4479260,969999999739230;40,461962999999997;-3,689604000000000
114;114;Po Castellana 105 C1;Interior M-30;Paseo;Castellana;105;441467,090000000025611;4478427,280000000260770;40,454447999999999;-3,690316000000000
115;115;Po Castellana 105 C2;Interior M-30;Paseo;Castellana;105;441467,090000000025611;4478427,280000000260770;40,454447999999999;-3,690316000000000
116;116;Po Recoletos 20 C1;Interior M-30;Paseo;Recoletos;20;441379,609999999986030;4474984,959999999962747;40,423431999999998;-3,691030000000000
117;117;Po Recoletos 20 C2;Interior M-30;Paseo;Recoletos;20;441379,609999999986030;4474984,959999999962747;40,423431999999998;-3,691030000000000
118;118;Po Recoletos 31;Interior M-30;Paseo;Recoletos;31;441369,469999999972060;4474989,589999999850988;40,423473000000001;-3,691150000000000
119;119;C Velazquez 70 C1;Interior M-30;Calle;Velazquez;70;441998,330000000016298;4475599,900000000372529;40,429015000000000;-3,683793000000000
120;120;C Velazquez 70 C2;Interior M-30;Calle;Velazquez;70;441998,330000000016298;4475599,900000000372529;40,429015000000000;-3,683793000000000
121;121;C Monforte de Lemos 85 C1;Interior M-30;Calle;Monforte de Lemos;85;440481,109999999986030;4481257,959999999962747;40,479877999999999;-3,702209000000000
122;122;C Monforte de Lemos 85 C2;Interior M-30;Calle;Monforte de Lemos;85;440481,109999999986030;4481257,959999999962747;40,479877999999999;-3,702209000000000
123;123;C Serrano 127 C1;Interior M-30;Calle;Serrano;127;441829,229999999981374;4477070,509999999776483;40,442250999999999;-3,685921000000000
124;124;C Serrano 127 C2;Interior M-30;Calle;Serrano;127;441829,229999999981374;4477070,509999999776483;40,442250999999999;-3,685921000000000
125;125;C Francisco Silvela 67 C1;Interior M-30;Calle;Francisco Silvela;67;442722,809999999997672;4476293,889999999664724;40,435316999999998;-3,675315000000000
126;126;C Francisco Silvela 67 C2;Interior M-30;Calle;Francisco Silvela;67;442722,809999999997672;4476293,889999999664724;40,435316999999998;-3,675315000000000
127;127;C Principe de Vergara 135 C1;Interior M-30;Calle;Principe de Vergara;135;442464,380000000004657;4477301,139999999664724;40,444372999999999;-3,678453000000000
128;128;C Principe de Vergara 135 C2;Interior M-30;Calle;Principe de Vergara;135;442464,380000000004657;4477301,139999999664724;40,444372999999999;-3,678453000000000
129;129;C Principe de Vergara 136 C1;Interior M-30;Calle;Principe de Vergara;136;442470,770000000018626;4477271,559999999590218;40,444107000000002;-3,678375000000000
130;130;C Principe de Vergara 136 C2;Interior M-30;Calle;Principe de Vergara;136;442470,770000000018626;4477271,559999999590218;40,444107000000002;-3,678375000000000
131;131;C Alberto Alcocer 43 C1;Interior M-30;Calle;Alberto Alcocer;43;442311,169999999983702;4478891,269999999552965;40,458686999999998;-3,680404000000000
132;132;C Alberto Alcocer 43 C2;Interior M-30;Calle;Alberto Alcocer;43;442311,169999999983702;4478891,269999999552965;40,458686999999998;-3,680404000000000
133;133;C Alberto Alcocer 44 C1;Interior M-30;Calle;Alberto Alcocer;44;442288,659999999974389;4478874,459999999962747;40,458534000000000;-3,680668000000000
134;134;C Alberto Alcocer 44 C2;Interior M-30;Calle;Alberto Alcocer;44;442288,659999999974389;4478874,459999999962747;40,458534000000000;-3,680668000000000
135;135;Av Alfonso XII 44;Interior M-30;Avenida;Alfonso XIII;44;443405,900000000023283;4478163,889999999664724;40,452209000000003;-3,667428000000000
136;136;Av Alfonso XII 43;Interior M-30;Avenida;Alfonso XIII;43;443403,880000000004657;4478192,009999999776483;40,452461999999997;-3,667454000000000
137;137;Av PIo XII 46;Interior M-30;Avenida;Pio XII;46;442902,479999999981374;4479976,950000000186265;40,468508000000000;-3,673528000000000
138;138;C Mateo Inurria 26;Interior M-30;Calle;Mateo Inurria;26;442095,400000000023283;4479849,799999999813735;40,467306999999998;-3,683036000000000
139;139;C Mateo Inurria 27;Interior M-30;Calle;Mateo Inurria;27;442111,450000000011642;4479857,679999999701977;40,467377999999997;-3,682847000000000
140;140;C ODonnell 25;Interior M-30;Calle;O´Donnell;25;442536,119999999995343;4474778,419999999925494;40,421652000000002;-3,677379000000000
141;141;C ODonnell 12;Interior M-30;Calle;O´Donnell;12;442515,030000000027940;4474771,919999999925494;40,421591999999997;-3,677627000000000
142;142;C Doctor Esquerdo 111 C1;Interior M-30;Calle;Doctor Esquerdo;111;443200,700000000011642;4473954,570000000298023;40,414276000000001;-3,669472000000000
143;143;C Doctor Esquerdo 111 C2;Interior M-30;Calle;Doctor Esquerdo;111;443200,700000000011642;4473954,570000000298023;40,414276000000001;-3,669472000000000
144;144;C Doctor Esquerdo 62 C1;Interior M-30;Calle;Doctor Esquerdo;62;443192,780000000027940;4474073,629999999888241;40,415348000000002;-3,669576000000000
145;145;C Doctor Esquerdo 62 C2;Interior M-30;Calle;Doctor Esquerdo;62;443192,780000000027940;4474073,629999999888241;40,415348000000002;-3,669576000000000
146;146;Av Menendez Pelayo 65 C1;Interior M-30;Avenida;Menendez Pelayo;65;442538,700000000011642;4473984,809999999590218;40,414503000000003;-3,677277000000000
147;147;Av Menendez Pelayo 65 C2;Interior M-30;Avenida;Menendez Pelayo;65;442538,700000000011642;4473984,809999999590218;40,414503000000003;-3,677277000000000
148;148;Po Virgen del Puerto 4;Interior M-30;Paseo;Virgen del Puerto;4;438849,400000000023283;4474137,769999999552965;40,415618000000002;-3,720773000000000
149;149;Av Ciudad de Barcelona 138;Interior M-30;Avenida;Av Ciudad de Barcelona;138;442324,010000000009313;4472791,040000000037253;40,403734000000000;-3,679699000000000
150;150;C Méndez Álvaro 51 C1;Interior M-30;Calle;Méndez Álvaro;51;441989,359999999986030;4472235,480000000447035;40,398705999999997;-3,683592000000000
151;151;C Méndez Álvaro 51 C2;Interior M-30;Calle;Méndez Álvaro;51;441989,359999999986030;4472235,480000000447035;40,398705999999997;-3,683592000000000
152;152;C Méndez Álvaro 44 C1;Interior M-30;Calle;Méndez Álvaro;44;441962,010000000009313;4472244,690000000409782;40,398786999999999;-3,683915000000000
153;153;C Méndez Álvaro 44 C2;Interior M-30;Calle;Méndez Álvaro;44;441962,010000000009313;4472244,690000000409782;40,398786999999999;-3,683915000000000
154;154;Po Delicias 34 C1;Interior M-30;Paseo;De las Delicias;34;441147,580000000016298;4472834,040000000037253;40,404038999999997;-3,693566000000000
155;155;Po Delicias 34 C2;Interior M-30;Paseo;De las Delicias;34;441147,580000000016298;4472834,040000000037253;40,404038999999997;-3,693566000000000
156;156;C Embajadores 151;Interior M-30;Calle;Embajadores;151;440932,890000000013970;4471961,660000000149012;40,396165000000003;-3,696015000000000
